% Query:
% SELECT d.name, li.name, ev2.evalue as build_CPU, ev3.evalue as build_mem, ev.evalue as run_CPU, ev4.evalue as run_mem, ev1.evalue as pred_acc
% FROM
% dataset d,
% experiment e,
% learner_application la,
% learner_implementation li,
% evaluation ev,
% evaluation ev1,
% evaluation ev2,
% evaluation ev3,
% evaluation ev4
% WHERE d.did = 60 and
% d.did = e.did and la.laid = e.laid and la.liid = li.liid and
% e.eid = ev.eid and ev2.eid = e.eid and ev3.eid = e.eid and ev4.eid = e.eid and ev2.emiid = 1 and ev3.emiid = 2 and ev4.emiid = 4 and ev.emiid = 3 and ev1.emiid = 6 and e.eid = ev1.eid

@relation query

@attribute name {waveform-5000}
@attribute name {weka.DecisionTable,weka.NNge,weka.DecisionStump,weka.SMO,weka.MultilayerPerceptron,weka.MultiBoostAB,weka.ConjunctiveRule,weka.Stacking,weka.J48,weka.Decorate,weka.PART,weka.RBFNetwork,weka.ZeroR,weka.BayesNet,weka.SimpleLogistic,weka.Logistic,weka.StackingC,weka.AttributeSelectedClassifier,weka.MultiClassClassifier,weka.NaiveBayes,weka.FilteredClassifier,weka.MultiScheme,weka.NaiveBayesUpdateable,weka.Ridor,weka.Vote,weka.HyperPipes,weka.NBTree,weka.CVParameterSelection,weka.ClassificationViaRegression,weka.LogitBoost,weka.Bagging,weka.LMT,weka.IBk,weka.NaiveBayesSimple,weka.IB1,weka.OneR,weka.VFI,weka.RacedIncrementalLogitBoost,weka.LWL,weka.RandomForest,weka.RandomTree,weka.REPTree,weka.JRip,weka.AdaBoostM1,weka.RandomCommittee,weka.OrdinalClassClassifier}
@attribute build_CPU numeric
@attribute build_mem numeric
@attribute run_CPU numeric
@attribute run_mem numeric
@attribute pred_acc numeric

@data
waveform-5000,weka.DecisionTable,5.1,8.3125e+07,47,1.28796e+08,0.738
waveform-5000,weka.NNge,28.16,1.74642e+07,386.02,2.42971e+08,0.7786
waveform-5000,weka.DecisionStump,0.77,173664,11,1.61576e+08,0.5676
waveform-5000,weka.SMO,2.21,3.20385e+07,20,0,0.8668
waveform-5000,weka.MultilayerPerceptron,119.95,2.09973e+07,1203,1.29296e+08,0.8356
waveform-5000,weka.MultiBoostAB,2.61,1.40722e+07,27,1.3504e+08,0.5932
waveform-5000,weka.ConjunctiveRule,2.38,1.37354e+07,19,5.5888e+07,0.5732
waveform-5000,weka.Stacking,0.16,81296,7,0,0.3384
waveform-5000,weka.J48,2.6,1.39337e+07,29,0,0.7508
waveform-5000,weka.Decorate,88.5,1.05936e+08,1014,3.7678e+08,0.782
waveform-5000,weka.PART,12.42,1.98972e+07,129,7.3268e+07,0.7742
waveform-5000,weka.RBFNetwork,5.57,4.10454e+07,37,1.42836e+08,0.8514
waveform-5000,weka.ZeroR,0.4,38808,5,0,0.3384
waveform-5000,weka.BayesNet,0.79,2.14197e+06,13,0,0.7984
waveform-5000,weka.SimpleLogistic,21.46,1.02921e+08,195,2.6924e+08,0.8696
waveform-5000,weka.Logistic,4.57,3.49647e+07,29,0,0.866
waveform-5000,weka.StackingC,0.85,1.16111e+07,9,1.19704e+08,0.3384
waveform-5000,weka.AttributeSelectedClassifier,2.84,1.88835e+07,23,0,0.774
waveform-5000,weka.MultiClassClassifier,5.69,3.91622e+07,38,1.25196e+08,0.8652
waveform-5000,weka.NaiveBayes,0.65,117744,9,0,0.8
waveform-5000,weka.FilteredClassifier,1.15,8.61298e+06,13,0,0.7438
waveform-5000,weka.MultiScheme,0.22,147072,7,0,0.3384
