% Query:
% SELECT d.name, li.name, ev2.evalue as build_CPU, ev3.evalue as build_mem, ev.evalue as run_CPU, ev4.evalue as run_mem, ev1.evalue as pred_acc
% FROM
% dataset d,
% experiment e,
% learner_application la,
% learner_implementation li,
% evaluation ev,
% evaluation ev1,
% evaluation ev2,
% evaluation ev3,
% evaluation ev4
% WHERE d.did = 186 and
% d.did = e.did and la.laid = e.laid and la.liid = li.liid and
% e.eid = ev.eid and ev2.eid = e.eid and ev3.eid = e.eid and ev4.eid = e.eid and ev2.emiid = 1 and ev3.emiid = 2 and ev4.emiid = 4 and ev.emiid = 3 and ev1.emiid = 6 and e.eid = ev1.eid

@relation query

@attribute name {satimage}
@attribute name {weka.DecisionTable,weka.DecisionStump,weka.MultilayerPerceptron,weka.ConjunctiveRule,weka.Stacking,weka.J48,weka.PART,weka.RBFNetwork,weka.ZeroR,weka.StackingC,weka.AttributeSelectedClassifier,weka.MultiClassClassifier,weka.NaiveBayes,weka.MultiScheme,weka.NaiveBayesUpdateable,weka.Ridor,weka.Vote,weka.HyperPipes,weka.NBTree,weka.CVParameterSelection,weka.LogitBoost,weka.Bagging,weka.LMT,weka.IBk,weka.NaiveBayesSimple,weka.IB1,weka.OneR,weka.VFI,weka.RacedIncrementalLogitBoost,weka.RandomForest,weka.RandomTree,weka.JRip,weka.RandomCommittee,weka.OrdinalClassClassifier,weka.SMO,weka.MultiBoostAB,weka.REPTree,weka.AdaBoostM1}
@attribute build_CPU numeric
@attribute build_mem numeric
@attribute run_CPU numeric
@attribute run_mem numeric
@attribute pred_acc numeric

@data
satimage,weka.DecisionTable,5.9,8.18361e+07,59.42,1.35792e+08,0.832037
satimage,weka.DecisionStump,0.38,96848,4.88,3.33473e+07,0.437947
satimage,weka.MultilayerPerceptron,228.02,6.68095e+06,2282.12,1.11744e+08,0.897512
satimage,weka.ConjunctiveRule,1.34,4.96962e+06,8.33,1.09941e+08,0.436236
satimage,weka.Stacking,0.08,107456,1.88,3.24177e+07,0.238103
satimage,weka.J48,3.03,5.21226e+06,24.75,8.11923e+07,0.862675
satimage,weka.PART,17.15,2.83021e+07,145.84,5.95101e+07,0.865163
satimage,weka.RBFNetwork,15.78,8.40534e+07,129.42,1.59167e+08,0.838569
satimage,weka.ZeroR,0.04,37208,2.64,3.26784e+07,0.238103
satimage,weka.StackingC,1.04,8.44036e+06,9.31,1.14197e+08,0.238103
satimage,weka.AttributeSelectedClassifier,4.39,1.2155e+07,33.72,1.12677e+08,0.861275
satimage,weka.MultiClassClassifier,8.07,7.87551e+07,57.77,1.11447e+08,0.834681
satimage,weka.NaiveBayes,0.38,127536,7.59,1.14784e+08,0.795645
satimage,weka.MultiScheme,0.27,140768,3.29,3.29308e+07,0.238103
satimage,weka.NaiveBayesUpdateable,0.16,191016,3.32,1.14416e+08,0.795645
satimage,weka.Ridor,51.61,8.74691e+07,431.68,2.0497e+08,0.865785
satimage,weka.Vote,0.07,45688,2.5,3.27141e+07,0.238103
satimage,weka.HyperPipes,0.07,51968,3.88,3.27871e+07,0.477916
satimage,weka.NBTree,32.1,9.76419e+06,307.82,4.69921e+07,0.81944
satimage,weka.CVParameterSelection,0.07,43960,2.52,3.27446e+07,0.238103
satimage,weka.LogitBoost,12.38,3.31649e+07,106.54,1.21636e+08,0.857698
satimage,weka.Bagging,5.88,8.34736e+07,51.45,1.23283e+08,0.892691
satimage,weka.LMT,1130.22,3.20802e+08,11112.5,3.46546e+08,0.873872
satimage,weka.IBk,0.07,235416,387.77,3.94988e+07,0.904821
satimage,weka.NaiveBayesSimple,0.35,130592,5.3,5.57675e+07,0.797045
satimage,weka.IB1,0.04,221408,183.39,4.20257e+07,0.904821
satimage,weka.OneR,0.15,89560,1.74,3.09097e+07,0.599689
satimage,weka.VFI,0.27,129240,4.56,3.29461e+07,0.704355
satimage,weka.RacedIncrementalLogitBoost,3.04,8.08218e+06,27.48,1.00575e+08,0.83437
satimage,weka.RandomForest,5.01,8.94296e+07,42.83,1.47666e+08,0.90591
satimage,weka.RandomTree,1.66,4.15044e+07,10.18,1.10775e+08,0.823017
satimage,weka.JRip,23.72,9.18363e+07,201.05,3.62278e+08,0.862986
satimage,weka.RandomCommittee,5.48,9.96024e+07,55.41,2.4562e+08,0.899689
satimage,weka.OrdinalClassClassifier,7.73,3.05136e+07,64.39,1.05183e+08,0.833748
satimage,weka.SMO,2.37,1.07336e+08,18.23,2.16123e+08,0.867496
satimage,weka.SMO,2.44,1.07342e+08,18.39,2.16144e+08,0.867807
satimage,weka.SMO,2.28,1.07342e+08,18.43,2.16107e+08,0.867963
satimage,weka.SMO,2.29,1.0734e+08,17.72,2.16138e+08,0.867807
satimage,weka.SMO,2.48,1.07345e+08,19.74,2.16144e+08,0.867963
satimage,weka.SMO,3.08,1.07345e+08,22.95,2.1613e+08,0.870607
satimage,weka.SMO,3.97,1.07342e+08,33.45,2.16111e+08,0.872628
satimage,weka.SMO,3.75,1.07335e+08,30.54,2.16198e+08,0.872162
satimage,weka.SMO,19.89,1.07342e+08,185.1,2.39951e+08,0.870607
satimage,weka.SMO,21.93,1.07316e+08,193.64,2.1612e+08,0.871073
satimage,weka.SMO,1.82,1.07349e+08,12.85,2.16181e+08,0.81353
satimage,weka.SMO,1.67,1.07343e+08,13.3,2.16057e+08,0.813375
satimage,weka.SMO,1.88,1.07344e+08,13.35,2.16161e+08,0.841058
satimage,weka.SMO,1.72,1.07326e+08,13.69,2.16092e+08,0.841058
satimage,weka.SMO,1.53,1.07331e+08,11.92,2.1605e+08,0.840902
satimage,weka.SMO,1.71,1.07335e+08,13.48,2.1603e+08,0.841058
satimage,weka.SMO,1.76,1.07327e+08,14.5,2.16085e+08,0.848989
satimage,weka.SMO,1.7,1.0735e+08,12.51,2.16098e+08,0.848523
satimage,weka.SMO,1.65,1.07334e+08,13.11,2.16103e+08,0.848678
satimage,weka.SMO,1.73,8.94247e+07,12.73,2.16305e+08,0.848523
satimage,weka.SMO,1.6,1.07347e+08,12.71,2.1613e+08,0.848989
satimage,weka.SMO,2.09,1.07346e+08,17.03,2.16115e+08,0.862675
satimage,weka.SMO,1.94,1.07337e+08,15.75,2.16101e+08,0.86283
satimage,weka.SMO,1.8,1.07331e+08,14.53,2.16061e+08,0.862675
satimage,weka.SMO,2.13,1.07301e+08,17.01,2.16134e+08,0.862675
satimage,weka.SMO,2.25,1.07339e+08,17.95,2.16142e+08,0.862675
satimage,weka.SMO,2.09,1.07323e+08,18.01,2.16239e+08,0.862675
satimage,weka.SMO,2.3,1.07332e+08,17.85,2.16116e+08,0.867496
satimage,weka.SMO,2.05,1.07334e+08,17.21,2.1612e+08,0.867652
satimage,weka.SMO,2.9,1.07341e+08,22.86,2.16087e+08,0.870762
satimage,weka.SMO,3.54,8.94313e+07,29.86,2.16171e+08,0.870918
satimage,weka.SMO,2.72,1.07331e+08,22.56,2.16078e+08,0.870918
satimage,weka.SMO,2.96,1.07362e+08,23.3,2.16102e+08,0.870762
satimage,weka.SMO,3.63,1.07338e+08,30.69,2.16032e+08,0.872628
satimage,weka.SMO,3.95,1.07342e+08,32.86,2.16139e+08,0.872317
satimage,weka.SMO,2.96,1.07343e+08,25.52,2.16182e+08,0.872473
satimage,weka.SMO,4.42,1.07351e+08,34.16,2.16252e+08,0.872473
satimage,weka.SMO,3.15,1.07346e+08,25.68,2.16095e+08,0.872317
satimage,weka.SMO,3.19,1.07341e+08,25.08,2.16057e+08,0.872162
satimage,weka.SMO,3.77,1.07333e+08,31.54,2.16151e+08,0.871851
satimage,weka.SMO,4.08,1.07357e+08,32.87,2.16357e+08,0.872006
satimage,weka.SMO,4.07,1.0735e+08,34.4,2.16064e+08,0.871851
satimage,weka.SMO,3.51,1.07331e+08,33.74,2.16062e+08,0.871851
satimage,weka.SMO,3.5,1.07334e+08,30.61,2.16096e+08,0.871851
satimage,weka.SMO,3.56,1.07339e+08,30.43,2.16177e+08,0.871695
satimage,weka.SMO,3.51,1.07334e+08,30.27,2.16101e+08,0.871851
satimage,weka.SMO,4.1,1.07352e+08,37.13,2.16291e+08,0.87154
satimage,weka.SMO,3.72,1.07343e+08,31.31,2.16085e+08,0.871851
satimage,weka.SMO,4.43,1.07315e+08,36.35,2.16147e+08,0.872162
satimage,weka.SMO,3.58,1.07329e+08,30.66,2.16068e+08,0.872162
satimage,weka.SMO,5.26,1.07341e+08,46.29,2.16059e+08,0.871384
satimage,weka.SMO,4.97,1.0733e+08,43.29,2.16078e+08,0.871384
satimage,weka.SMO,5.62,1.07374e+08,49.72,2.16113e+08,0.87154
satimage,weka.SMO,7.48,1.07354e+08,67.47,2.16013e+08,0.872006
satimage,weka.SMO,15.45,1.07333e+08,140.61,2.16145e+08,0.87154
satimage,weka.SMO,12.91,1.07344e+08,112.67,2.16018e+08,0.871384
satimage,weka.SMO,12.8,1.07336e+08,112.08,2.23931e+08,0.871695
satimage,weka.SMO,12.77,1.07331e+08,118.68,2.16026e+08,0.871695
satimage,weka.SMO,16.19,1.07328e+08,148.75,2.40656e+08,0.87154
satimage,weka.SMO,12.42,1.07332e+08,115.3,2.16114e+08,0.87154
satimage,weka.SMO,15.43,1.07337e+08,135.61,2.16037e+08,0.871695
satimage,weka.SMO,12.76,1.07331e+08,110.2,2.16019e+08,0.870918
satimage,weka.SMO,18.46,1.07356e+08,163.61,2.58299e+08,0.870451
satimage,weka.SMO,15.98,1.07356e+08,152.47,2.16098e+08,0.870918
satimage,weka.SMO,21.64,1.07338e+08,180.41,2.59558e+08,0.870607
satimage,weka.SMO,21.34,1.07365e+08,184.89,2.16016e+08,0.870607
