% Query:
% SELECT li.name as alg_name, d.name as dataset, e.eid as id, p1.value as param5
% FROM
% dataset d,
% data_property_value dp,
% experiment e,
% learner_application la,
% learner_implementation li,
% learner_parameter_value p1
% WHERE d.did = dp.did and dp.dpid = 9 and dp.value >= 5000 and
% d.did = e.did and la.laid = e.laid and la.liid = li.liid and p1.lpid = 67 and p1.laid = la.laid and
% li.name = "weka.J48"

alg_name,dataset,id,param5
weka.J48,kropt,294102,9
weka.J48,satimage,294224,10
weka.J48,satimage,294486,2
weka.J48,waveform-5000,290147,7
weka.J48,waveform-5000,290027,7
weka.J48,waveform-5000,290017,2
weka.J48,adult,292374,4
weka.J48,kropt,293813,4
weka.J48,adult,292161,10
weka.J48,covertype,292789,10
weka.J48,covertype,292440,9
weka.J48,kropt,293955,2
weka.J48,satimage,294530,2
weka.J48,adult,292367,5
weka.J48,kropt,293734,5
weka.J48,adult,292057,3
weka.J48,kropt,293909,3
weka.J48,waveform-5000,290257,2
weka.J48,adult,292175,3
weka.J48,covertype,292695,3
weka.J48,waveform-5000,290167,5
weka.J48,covertype,292629,6
weka.J48,kropt,293941,6
weka.J48,satimage,294404,6
weka.J48,adult,292176,4
weka.J48,satimage,294266,4
weka.J48,satimage,294264,6
weka.J48,covertype,292461,8
weka.J48,waveform-5000,289824,8
weka.J48,kropt,293683,2
weka.J48,waveform-5000,290199,8
weka.J48,satimage,294142,8
weka.J48,waveform-5000,290224,3
weka.J48,adult,292146,3
weka.J48,waveform-5000,289994,9
weka.J48,kropt,293761,5
weka.J48,satimage,294471,5
weka.J48,adult,292033,10
weka.J48,adult,292225,10
weka.J48,covertype,292771,3
weka.J48,waveform-5000,290123,2
weka.J48,waveform-5000,290075,9
weka.J48,covertype,292576,9
weka.J48,covertype,292604,3
weka.J48,waveform-5000,290178,10
weka.J48,waveform-5000,290243,5
weka.J48,kropt,293913,5
weka.J48,kropt,293790,2
weka.J48,waveform-5000,290231,5
weka.J48,satimage,294499,5
weka.J48,waveform-5000,290126,5
weka.J48,satimage,294457,5
weka.J48,kropt,293998,7
weka.J48,waveform-5000,290171,4
weka.J48,covertype,292784,4
weka.J48,kropt,293859,7
weka.J48,covertype,292633,10
weka.J48,satimage,294200,7
weka.J48,waveform-5000,290154,6
weka.J48,covertype,292418,6
weka.J48,kropt,293840,8
weka.J48,satimage,294261,2
weka.J48,covertype,292674,8
weka.J48,satimage,294315,8
weka.J48,waveform-5000,290225,6
weka.J48,covertype,292588,9
weka.J48,kropt,294078,9
weka.J48,waveform-5000,290146,8
weka.J48,kropt,294071,8
weka.J48,waveform-5000,290138,10
weka.J48,waveform-5000,290088,3
weka.J48,covertype,292625,3
weka.J48,kropt,293874,3
weka.J48,adult,292324,2
weka.J48,covertype,292756,4
weka.J48,satimage,294545,4
weka.J48,waveform-5000,289898,5
weka.J48,satimage,294464,4
weka.J48,waveform-5000,290026,8
weka.J48,satimage,294539,8
weka.J48,covertype,292551,9
weka.J48,satimage,294327,7
weka.J48,waveform-5000,290170,5
weka.J48,adult,292349,5
weka.J48,satimage,294522,5
weka.J48,waveform-5000,290254,7
weka.J48,adult,292195,4
weka.J48,waveform-5000,290197,9
weka.J48,kropt,293875,9
weka.J48,covertype,292409,10
weka.J48,satimage,294465,10
weka.J48,kropt,293824,5
weka.J48,waveform-5000,289933,7
weka.J48,covertype,292768,6
weka.J48,adult,292070,2
weka.J48,kropt,294068,2
weka.J48,waveform-5000,290169,9
weka.J48,kropt,294079,9
weka.J48,adult,292036,2
weka.J48,kropt,294047,2
weka.J48,satimage,294535,2
weka.J48,kropt,293812,4
weka.J48,satimage,294340,4
weka.J48,waveform-5000,290188,3
weka.J48,kropt,293799,9
weka.J48,covertype,292587,10
weka.J48,satimage,294341,10
weka.J48,waveform-5000,290234,5
weka.J48,covertype,292720,9
weka.J48,adult,292189,5
weka.J48,satimage,294338,8
weka.J48,covertype,292801,3
weka.J48,waveform-5000,290009,5
weka.J48,covertype,292638,5
weka.J48,adult,292206,2
weka.J48,satimage,294517,9
weka.J48,covertype,292739,5
weka.J48,waveform-5000,290048,9
weka.J48,kropt,293701,9
weka.J48,waveform-5000,290049,10
weka.J48,adult,292154,8
weka.J48,kropt,294003,8
weka.J48,satimage,294204,6
weka.J48,satimage,294334,8
weka.J48,waveform-5000,290021,8
weka.J48,adult,292345,2
weka.J48,adult,292168,8
weka.J48,waveform-5000,290175,3
weka.J48,waveform-5000,290037,8
weka.J48,kropt,294028,8
weka.J48,covertype,292610,2
weka.J48,covertype,292617,9
weka.J48,waveform-5000,290046,6
weka.J48,covertype,292719,6
weka.J48,kropt,294039,3
weka.J48,satimage,294519,3
weka.J48,waveform-5000,289901,6
weka.J48,adult,292352,6
weka.J48,adult,292317,6
weka.J48,adult,292096,3
weka.J48,satimage,294491,4
weka.J48,satimage,294299,5
weka.J48,waveform-5000,290121,7
weka.J48,covertype,292656,7
weka.J48,kropt,293989,7
weka.J48,covertype,292518,5
weka.J48,waveform-5000,290166,10
weka.J48,adult,291981,10
weka.J48,satimage,294533,10
weka.J48,kropt,293802,10
weka.J48,satimage,294528,8
weka.J48,adult,292155,3
weka.J48,waveform-5000,290239,2
weka.J48,satimage,294237,2
weka.J48,kropt,294004,2
weka.J48,satimage,294529,2
weka.J48,adult,292360,4
weka.J48,kropt,294105,4
weka.J48,adult,292194,7
weka.J48,waveform-5000,290135,2
weka.J48,satimage,294336,2
weka.J48,covertype,292696,5
weka.J48,waveform-5000,289969,5
weka.J48,satimage,294358,10
weka.J48,covertype,292677,2
