% Query:
% SELECT d.name, li.name, ev2.evalue as build_CPU, ev3.evalue as build_mem, ev.evalue as run_CPU, ev4.evalue as run_mem, ev1.evalue as pred_acc
% FROM
% dataset d,
% experiment e,
% learner_application la,
% learner_implementation li,
% evaluation ev,
% evaluation ev1,
% evaluation ev2,
% evaluation ev3,
% evaluation ev4
% WHERE d.did = 188 and
% d.did = e.did and la.laid = e.laid and la.liid = li.liid and
% e.eid = ev.eid and ev2.eid = e.eid and ev3.eid = e.eid and ev4.eid = e.eid and ev2.emiid = 1 and ev3.emiid = 2 and ev4.emiid = 4 and ev.emiid = 3 and ev1.emiid = 6 and e.eid = ev1.eid

@relation query

@attribute name {kropt}
@attribute name {weka.LBR,weka.DecisionTable,weka.DecisionStump,weka.Id3,weka.SMO,weka.MultilayerPerceptron,weka.MultiBoostAB,weka.ConjunctiveRule,weka.Stacking,weka.J48,weka.Decorate,weka.PART,weka.ZeroR,weka.BayesNet,weka.SimpleLogistic,weka.Logistic,weka.StackingC,weka.AttributeSelectedClassifier,weka.MultiClassClassifier,weka.NaiveBayes,weka.FilteredClassifier,weka.MultiScheme,weka.NaiveBayesUpdateable,weka.Ridor,weka.Vote,weka.HyperPipes,weka.CVParameterSelection,weka.ClassificationViaRegression,weka.LogitBoost,weka.Bagging,weka.IBk,weka.NaiveBayesSimple,weka.IB1,weka.OneR,weka.VFI,weka.RacedIncrementalLogitBoost,weka.LWL,weka.RandomForest,weka.RandomTree,weka.REPTree,weka.AdaBoostM1,weka.AODE,weka.OrdinalClassClassifier,weka.RandomCommittee}
@attribute build_CPU numeric
@attribute build_mem numeric
@attribute run_CPU numeric
@attribute run_mem numeric
@attribute pred_acc numeric

@data
kropt,weka.LBR,0.56,347040,11897,3.7166e+08,0.695038
kropt,weka.DecisionTable,5.45,8.21983e+07,345,3.6954e+08,0.493014
kropt,weka.DecisionStump,0.33,92216,204,3.64348e+08,0.18873
kropt,weka.Id3,1.38,8.73453e+07,1257,4.6702e+08,0.379527
kropt,weka.SMO,1615.96,1.26332e+08,14335,4.92088e+08,0.435629
kropt,weka.MultilayerPerceptron,2099.53,1.10341e+08,20817,3.68824e+08,0.635443
kropt,weka.MultiBoostAB,0.75,549200,271,3.58348e+08,0.18873
kropt,weka.ConjunctiveRule,0.92,7.34984e+06,259,3.77536e+08,0.20124
kropt,weka.Stacking,0.52,5.44319e+06,210,2.80948e+08,0.162283
kropt,weka.J48,1.2,1.62323e+07,258,3.84244e+08,0.565833
kropt,weka.Decorate,25.21,3.01072e+08,6471,9.54836e+08,0.616945
kropt,weka.PART,68.82,1.33157e+08,1230,9.41624e+08,0.540883
kropt,weka.ZeroR,0.11,49232,243,1.44676e+08,0.162283
kropt,weka.BayesNet,0.26,907128,261,3.72272e+08,0.360529
kropt,weka.SimpleLogistic,6987.83,5.21829e+08,72479,9.6454e+08,0.40551
kropt,weka.Logistic,13432.8,3.25095e+08,138206,3.44476e+08,0.406651
kropt,weka.StackingC,3.97,9.75896e+07,301,3.88504e+08,0.162283
kropt,weka.AttributeSelectedClassifier,2.95,3.69033e+07,300,3.82416e+08,0.565833
kropt,weka.MultiClassClassifier,97.55,2.89839e+08,1251,4.90732e+08,0.362062
kropt,weka.NaiveBayes,0.14,85016,194,1.3612e+08,0.360137
kropt,weka.FilteredClassifier,1.75,1.99507e+07,277,3.97928e+08,0.565833
kropt,weka.MultiScheme,0.57,194704,218,3.58724e+08,0.162283
kropt,weka.NaiveBayesUpdateable,0.14,82520,213,3.71928e+08,0.360137
kropt,weka.Ridor,95.21,1.51824e+08,1644,4.12796e+08,0.485279
kropt,weka.Vote,0.18,67040,295,1.38788e+08,0.162283
kropt,weka.HyperPipes,0.6,46384,193,1.33736e+08,0.0996578
kropt,weka.CVParameterSelection,0.19,89616,227,3.75508e+08,0.162283
