% Query:
% SELECT d.name, li.name, ev2.evalue as build_CPU, ev3.evalue as build_mem, ev.evalue as run_CPU, ev4.evalue as run_mem, ev1.evalue as pred_acc
% FROM
% dataset d,
% experiment e,
% learner_application la,
% learner_implementation li,
% evaluation ev,
% evaluation ev1,
% evaluation ev2,
% evaluation ev3,
% evaluation ev4
% WHERE d.did = 26 and
% d.did = e.did and la.laid = e.laid and la.liid = li.liid and
% e.eid = ev.eid and ev2.eid = e.eid and ev3.eid = e.eid and ev4.eid = e.eid and ev2.emiid = 1 and ev3.emiid = 2 and ev4.emiid = 4 and ev.emiid = 3 and ev1.emiid = 6 and e.eid = ev1.eid

@relation query

@attribute name {nursery}
@attribute name {weka.LBR,weka.DecisionTable,weka.NNge,weka.DecisionStump,weka.Id3,weka.SMO,weka.MultilayerPerceptron,weka.MultiBoostAB,weka.ConjunctiveRule,weka.Stacking,weka.J48,weka.Decorate,weka.PART,weka.RBFNetwork,weka.ZeroR,weka.BayesNet,weka.SimpleLogistic,weka.Logistic,weka.StackingC,weka.AttributeSelectedClassifier,weka.MultiClassClassifier,weka.NaiveBayes,weka.FilteredClassifier,weka.Prism,weka.MultiScheme,weka.NaiveBayesUpdateable,weka.Ridor,weka.Vote,weka.HyperPipes,weka.NBTree,weka.CVParameterSelection,weka.ClassificationViaRegression,weka.LogitBoost,weka.Bagging,weka.LMT,weka.IBk,weka.NaiveBayesSimple,weka.IB1,weka.OneR,weka.VFI,weka.RacedIncrementalLogitBoost,weka.LWL,weka.RandomForest,weka.RandomTree,weka.REPTree,weka.JRip,weka.AdaBoostM1,weka.RandomCommittee,weka.AODE,weka.OrdinalClassClassifier}
@attribute build_CPU numeric
@attribute build_mem numeric
@attribute run_CPU numeric
@attribute run_mem numeric
@attribute pred_acc numeric

@data
nursery,weka.LBR,0.21,207752,2521,3.58812e+08,0.973765
nursery,weka.DecisionTable,2.76,3.53912e+07,86,1.61632e+08,0.946914
nursery,weka.NNge,3.18,3.40918e+06,142,2.0176e+08,0.962654
nursery,weka.DecisionStump,0.29,83776,54,1.40316e+08,0.6625
nursery,weka.Id3,0.46,1.14205e+07,57,1.64272e+08,0.981867
nursery,weka.SMO,48.13,5.36299e+07,482,2.66636e+08,0.930787
nursery,weka.MultilayerPerceptron,196.22,1.63858e+07,2030,1.83536e+08,0.997299
nursery,weka.MultiBoostAB,1.23,1.17798e+07,67,1.35836e+08,0.6625
nursery,weka.ConjunctiveRule,0.95,2.06202e+06,61,1.6946e+08,0.6625
nursery,weka.Stacking,0.31,92064,57,1.42288e+08,0.333333
nursery,weka.J48,0.43,356152,53,1.77324e+08,0.970525
nursery,weka.Decorate,7.48,1.0497e+08,112,1.94784e+08,0.973843
nursery,weka.PART,1.25,1.24308e+07,52,1.39428e+08,0.992052
nursery,weka.RBFNetwork,20.41,9.22057e+07,252,2.45032e+08,0.921991
nursery,weka.ZeroR,0.5,26768,55,1.76272e+08,0.333333
nursery,weka.BayesNet,0.18,466104,51,1.36116e+08,0.903318
nursery,weka.SimpleLogistic,190.11,1.38664e+08,1976,3.91244e+08,0.925694
nursery,weka.Logistic,13.55,8.28237e+07,175,1.832e+08,0.925077
nursery,weka.StackingC,1.33,1.37197e+07,61,1.62192e+08,0.333333
nursery,weka.AttributeSelectedClassifier,1.17,2.78794e+06,67,1.59272e+08,0.96466
nursery,weka.MultiClassClassifier,7.63,8.91897e+07,102,1.5672e+08,0.916358
nursery,weka.NaiveBayes,0.11,71904,42,1.5316e+08,0.903241
nursery,weka.FilteredClassifier,0.71,412912,51,1.87776e+08,0.970525
nursery,weka.Prism,8.6,3.43538e+07,143,1.92752e+08,0.978549
nursery,weka.MultiScheme,0.3,168280,51,1.32056e+08,0.333333
nursery,weka.NaiveBayesUpdateable,0.11,71968,55,1.94148e+08,0.903241
nursery,weka.Ridor,3.14,9.02013e+07,81,1.97616e+08,0.956944
nursery,weka.Vote,0.1,64016,50,1.31708e+08,0.333333
nursery,weka.HyperPipes,0.8,47800,55,1.50448e+08,0.624383
nursery,weka.NBTree,15.28,9.2672e+07,219,3.35988e+08,0.974923
nursery,weka.CVParameterSelection,0.13,75576,54,1.43276e+08,0.333333
nursery,weka.ClassificationViaRegression,13.82,1.04338e+08,183,3.00288e+08,0.995448
nursery,weka.LogitBoost,1.75,4.03883e+07,62,1.54244e+08,0.903318
nursery,weka.Bagging,2.78,3.74608e+07,84,2.04604e+08,0.974228
nursery,weka.LMT,310.53,3.30515e+08,3814,4.41996e+08,0.989892
nursery,weka.IBk,0.9,419520,239,1.47972e+08,0.983796
nursery,weka.NaiveBayesSimple,0.47,109880,49,1.28468e+08,0.903241
nursery,weka.IB1,0.5,400584,129,1.38124e+08,0.787191
nursery,weka.OneR,0.13,64000,57,2.00864e+08,0.709722
nursery,weka.VFI,0.26,75352,49,1.30744e+08,0.733488
nursery,weka.RacedIncrementalLogitBoost,1.96,3.52473e+07,76,1.75164e+08,0.90463
nursery,weka.LWL,0.8,414328,671,2.19888e+08,0.878318
nursery,weka.RandomForest,2.86,8.92024e+07,66,2.38124e+08,0.982716
nursery,weka.RandomTree,1.42,1.41327e+07,65,1.65084e+08,0.764892
nursery,weka.REPTree,0.98,6.1681e+06,56,1.54412e+08,0.959645
nursery,weka.JRip,165.87,4.38935e+08,1383,7.37712e+08,0.968364
nursery,weka.AdaBoostM1,0.88,1.17853e+07,53,1.32028e+08,0.6625
nursery,weka.RandomCommittee,2.21,9.2947e+07,586,4.1894e+08,0.955787
nursery,weka.AODE,0.7,95632,49,1.74372e+08,0.927083
nursery,weka.OrdinalClassClassifier,0.89,8.30646e+06,67,1.47968e+08,0.970525
nursery,weka.LBR,0.32,208640,3514,1.77132e+08,0.976543
nursery,weka.DecisionTable,2.99,3.54049e+07,91,1.56348e+08,0.948148
nursery,weka.NNge,9.54,4.49085e+06,163,1.92468e+08,0.962731
nursery,weka.DecisionStump,0.19,98392,63,1.89772e+08,0.6625
nursery,weka.Id3,0.49,1.14653e+07,53,1.57676e+08,0.980324
nursery,weka.SMO,56.59,5.35723e+07,560,2.85816e+08,0.930401
nursery,weka.MultilayerPerceptron,220.84,1.63982e+07,2265,1.85e+08,0.999846
nursery,weka.MultiBoostAB,0.88,1.17912e+07,61,1.8798e+08,0.6625
nursery,weka.ConjunctiveRule,0.55,1.80824e+06,48,1.68016e+08,0.6625
nursery,weka.Stacking,0.28,82184,54,1.72696e+08,0.333333
nursery,weka.J48,0.44,353720,63,1.8748e+08,0.971142
nursery,weka.Decorate,9.18,1.04698e+08,125,2.37112e+08,0.973765
nursery,weka.PART,1.42,1.24292e+07,59,1.45444e+08,0.990741
nursery,weka.RBFNetwork,19.14,9.22231e+07,222,2.65588e+08,0.922917
nursery,weka.ZeroR,0.5,42160,48,1.62444e+08,0.333333
nursery,weka.BayesNet,0.14,464648,50,1.64052e+08,0.903704
nursery,weka.SimpleLogistic,150.3,1.38599e+08,1612,3.59204e+08,0.926929
nursery,weka.Logistic,15.57,8.279e+07,179,1.95008e+08,0.925154
nursery,weka.StackingC,1.35,1.33323e+07,59,1.6348e+08,0.333333
nursery,weka.AttributeSelectedClassifier,1.4,2.77992e+06,62,1.68128e+08,0.965972
nursery,weka.MultiClassClassifier,7.78,8.94648e+07,109,1.942e+08,0.91713
nursery,weka.NaiveBayes,0.11,69680,57,1.57672e+08,0.903549
nursery,weka.FilteredClassifier,0.67,405288,63,1.96404e+08,0.971142
nursery,weka.Prism,8.61,3.42967e+07,145,2.51984e+08,0.975463
nursery,weka.MultiScheme,0.4,145136,55,1.63924e+08,0.333333
nursery,weka.NaiveBayesUpdateable,0.11,70688,55,1.7762e+08,0.903549
nursery,weka.Ridor,3.75,9.28841e+07,82,1.66476e+08,0.954784
nursery,weka.Vote,0.1,62992,46,1.35528e+08,0.333333
nursery,weka.HyperPipes,0.7,33944,41,1.80844e+08,0.624383
nursery,weka.NBTree,12.7,9.19554e+07,171,2.39284e+08,0.97446
nursery,weka.CVParameterSelection,0.12,64928,45,1.45672e+08,0.333333
nursery,weka.ClassificationViaRegression,11.15,1.05259e+08,151,3.50612e+08,0.99537
nursery,weka.LogitBoost,1.67,3.86935e+07,61,1.41252e+08,0.903241
nursery,weka.Bagging,3.65,3.76536e+07,78,1.71504e+08,0.974537
nursery,weka.LMT,315.19,3.27994e+08,4149,4.27564e+08,0.987731
nursery,weka.IBk,0.9,419632,231,1.6196e+08,0.984414
nursery,weka.NaiveBayesSimple,0.56,96344,80,1.57936e+08,0.903549
nursery,weka.IB1,0.7,415640,164,1.88384e+08,0.78912
nursery,weka.OneR,0.13,60832,55,1.7974e+08,0.709722
nursery,weka.VFI,0.35,70040,68,1.634e+08,0.73287
nursery,weka.RacedIncrementalLogitBoost,2.21,3.52135e+07,71,1.57076e+08,0.900154
nursery,weka.LWL,0.8,413368,673,1.97536e+08,0.878704
nursery,weka.RandomForest,3.37,9.06244e+07,78,2.52972e+08,0.983025
