% Query:
% SELECT d.name, li.name, ev2.evalue as build_CPU, ev3.evalue as build_mem, ev.evalue as run_CPU, ev4.evalue as run_mem, ev1.evalue as pred_acc
% FROM
% dataset d,
% experiment e,
% learner_application la,
% learner_implementation li,
% evaluation ev,
% evaluation ev1,
% evaluation ev2,
% evaluation ev3,
% evaluation ev4
% WHERE d.did = 30 and
% d.did = e.did and la.laid = e.laid and la.liid = li.liid and
% e.eid = ev.eid and ev2.eid = e.eid and ev3.eid = e.eid and ev4.eid = e.eid and ev2.emiid = 1 and ev3.emiid = 2 and ev4.emiid = 4 and ev.emiid = 3 and ev1.emiid = 6 and e.eid = ev1.eid

@relation query

@attribute name {page-blocks}
@attribute name {weka.DecisionTable,weka.NNge,weka.DecisionStump,weka.SMO,weka.MultilayerPerceptron,weka.MultiBoostAB,weka.ConjunctiveRule,weka.Stacking,weka.J48,weka.Decorate,weka.PART,weka.RBFNetwork,weka.ZeroR,weka.BayesNet,weka.SimpleLogistic,weka.Logistic,weka.StackingC,weka.AttributeSelectedClassifier,weka.MultiClassClassifier,weka.NaiveBayes,weka.FilteredClassifier,weka.MultiScheme,weka.NaiveBayesUpdateable,weka.Ridor,weka.Vote,weka.HyperPipes,weka.NBTree,weka.CVParameterSelection,weka.ClassificationViaRegression,weka.LogitBoost,weka.Bagging,weka.LMT,weka.IBk,weka.NaiveBayesSimple,weka.IB1,weka.OneR,weka.VFI,weka.RacedIncrementalLogitBoost,weka.LWL,weka.RandomForest,weka.RandomTree,weka.REPTree,weka.JRip,weka.AdaBoostM1,weka.RandomCommittee,weka.OrdinalClassClassifier}
@attribute build_CPU numeric
@attribute build_mem numeric
@attribute run_CPU numeric
@attribute run_mem numeric
@attribute pred_acc numeric

@data
page-blocks,weka.DecisionTable,1.82,1.24269e+07,16,1.301e+08,0.961447
page-blocks,weka.NNge,2.6,1.79488e+06,65,8.8572e+07,0.958524
page-blocks,weka.DecisionStump,0.23,107848,8,0,0.931299
page-blocks,weka.SMO,1.92,3.97251e+07,15,0,0.929289
page-blocks,weka.MultilayerPerceptron,24.72,933560,262,1.33476e+08,0.962178
page-blocks,weka.MultiBoostAB,1,5.117e+06,13,0,0.931299
page-blocks,weka.ConjunctiveRule,1.93,1.19383e+07,16,0,0.929655
page-blocks,weka.Stacking,0.23,84464,8,0,0.89768
page-blocks,weka.J48,0.86,247512,14,1.4328e+08,0.968756
page-blocks,weka.Decorate,53.29,9.82508e+07,597,3.32288e+08,0.971131
page-blocks,weka.PART,1.1,347520,14,0,0.970035
page-blocks,weka.RBFNetwork,11.4,8.39094e+07,104,1.41504e+08,0.948109
page-blocks,weka.ZeroR,0.3,34016,6,2.4768e+07,0.89768
page-blocks,weka.BayesNet,0.6,969216,13,0,0.935136
page-blocks,weka.SimpleLogistic,19.86,9.78348e+07,254,2.33408e+08,0.964553
page-blocks,weka.Logistic,7.12,3.53567e+07,73,1.50964e+08,0.964553
page-blocks,weka.StackingC,0.95,1.33729e+07,13,1.45652e+08,0.89768
page-blocks,weka.AttributeSelectedClassifier,1.39,3.90721e+06,17,0,0.971131
page-blocks,weka.MultiClassClassifier,4.79,3.64852e+07,34,5.0076e+07,0.956879
page-blocks,weka.NaiveBayes,0.21,115112,8,0,0.90846
page-blocks,weka.FilteredClassifier,0.76,333808,10,0,0.966198
page-blocks,weka.MultiScheme,0.22,138256,6,0,0.89768
page-blocks,weka.NaiveBayesUpdateable,0.26,111336,7,0,0.90846
page-blocks,weka.Ridor,6.59,9.04643e+07,71,1.41864e+08,0.96638
page-blocks,weka.Vote,0.6,45312,6,0,0.89768
page-blocks,weka.HyperPipes,0.4,39496,6,0,0.913576
page-blocks,weka.NBTree,17.1,8.17637e+07,130,1.57924e+08,0.967659
page-blocks,weka.CVParameterSelection,0.7,47840,6,0,0.89768
