% Query:
% SELECT d.name, li.name, ev2.evalue as build_CPU, ev3.evalue as build_mem, ev.evalue as run_CPU, ev4.evalue as run_mem, ev1.evalue as pred_acc
% FROM
% dataset d,
% experiment e,
% learner_application la,
% learner_implementation li,
% evaluation ev,
% evaluation ev1,
% evaluation ev2,
% evaluation ev3,
% evaluation ev4
% WHERE d.did = 184 and
% d.did = e.did and la.laid = e.laid and la.liid = li.liid and
% e.eid = ev.eid and ev2.eid = e.eid and ev3.eid = e.eid and ev4.eid = e.eid and ev2.emiid = 1 and ev3.emiid = 2 and ev4.emiid = 4 and ev.emiid = 3 and ev1.emiid = 6 and e.eid = ev1.eid

@relation query

@attribute name {covertype}
@attribute name {weka.DecisionStump,weka.MultilayerPerceptron,weka.MultiBoostAB,weka.ConjunctiveRule,weka.Stacking,weka.ZeroR,weka.SimpleLogistic,weka.Logistic,weka.StackingC,weka.MultiClassClassifier,weka.NaiveBayes,weka.FilteredClassifier,weka.MultiScheme,weka.NaiveBayesUpdateable,weka.Vote,weka.HyperPipes,weka.NBTree,weka.CVParameterSelection,weka.LogitBoost,weka.Bagging,weka.OneR,weka.RandomTree,weka.REPTree,weka.AdaBoostM1,weka.SMO,weka.J48,weka.RBFNetwork,weka.RacedIncrementalLogitBoost,weka.RandomForest}
@attribute build_CPU numeric
@attribute build_mem numeric
@attribute run_CPU numeric
@attribute run_mem numeric
@attribute pred_acc numeric

@data
covertype,weka.DecisionStump,6.84,3.05554e+06,82.38,1.86404e+08,0.468345
covertype,weka.MultilayerPerceptron,2838.23,2.26418e+08,28488.2,8.55336e+08,0.748915
covertype,weka.MultiBoostAB,5.81,3.9782e+07,66.8,3.0332e+08,0.468345
covertype,weka.ConjunctiveRule,66.43,8.23697e+07,617.72,3.41918e+08,0.46839
covertype,weka.Stacking,1.09,4.76614e+07,19.31,2.59506e+08,0.468164
covertype,weka.ZeroR,0.04,35216,10.42,2.58374e+08,0.468164
covertype,weka.SimpleLogistic,3354.17,8.33039e+08,43840.8,9.57781e+08,0.685931
covertype,weka.Logistic,2477.54,2.29843e+08,34917.7,3.00503e+08,0.687353
covertype,weka.StackingC,2.04,9.69043e+07,61.04,3.69735e+08,0.468164
covertype,weka.MultiClassClassifier,282.81,3.4135e+08,2753.79,6.523e+08,0.67978
covertype,weka.NaiveBayes,2.58,4.30616e+06,49.53,3.07565e+08,0.625176
covertype,weka.FilteredClassifier,33.67,3.41784e+08,371.46,7.04904e+08,0.818231
covertype,weka.MultiScheme,0.43,4.43889e+07,12.48,2.74324e+08,0.468164
covertype,weka.NaiveBayesUpdateable,4.25,3.73333e+06,77.13,3.15298e+08,0.625176
covertype,weka.Vote,0.09,1.46654e+06,10.56,2.55607e+08,0.468164
covertype,weka.HyperPipes,0.08,47832,8.88,2.56945e+08,0.354325
covertype,weka.NBTree,452.75,2.2828e+08,4839.26,8.30455e+08,0.652967
covertype,weka.CVParameterSelection,0.1,4.92832e+06,7.19,2.58255e+08,0.468164
covertype,weka.LogitBoost,532.21,3.1415e+08,5942.4,4.00014e+08,0.669399
covertype,weka.Bagging,320.05,7.50104e+08,3118.7,9.48486e+08,0.865
covertype,weka.OneR,4.87,2.01338e+07,55.25,2.37323e+08,0.641245
covertype,weka.RandomTree,43.21,8.41304e+08,564.21,9.50894e+08,0.754885
covertype,weka.REPTree,37.36,4.4834e+08,362.28,7.78066e+08,0.81439
covertype,weka.AdaBoostM1,5.91,3.85922e+07,65.78,3.03986e+08,0.468345
