% Query:
% SELECT d.name, li.name, ev.evalue
% FROM
% dataset d,
% experiment e,
% learner_application la,
% learner_implementation li,
% evaluation ev
% WHERE d.did = 6 and
% d.did = e.did and la.laid = e.laid and la.liid = li.liid and
% e.eid = ev.eid and (ev.emiid = 1 or ev.emiid = 3)

@relation query

@attribute name {letter}
@attribute name {weka.DecisionTable,weka.NNge,weka.DecisionStump,weka.SMO,weka.MultilayerPerceptron,weka.MultiBoostAB,weka.ConjunctiveRule,weka.Stacking,weka.J48,weka.Decorate,weka.PART,weka.ZeroR,weka.BayesNet,weka.SimpleLogistic,weka.Logistic,weka.StackingC,weka.AttributeSelectedClassifier,weka.MultiClassClassifier,weka.NaiveBayes,weka.FilteredClassifier,weka.MultiScheme,weka.NaiveBayesUpdateable,weka.Vote,weka.HyperPipes,weka.NBTree,weka.CVParameterSelection,weka.ClassificationViaRegression,weka.LogitBoost,weka.Bagging,weka.IBk,weka.NaiveBayesSimple,weka.IB1,weka.OneR,weka.VFI,weka.RacedIncrementalLogitBoost,weka.LWL,weka.RandomForest,weka.RandomTree,weka.REPTree,weka.JRip,weka.AdaBoostM1,weka.RandomCommittee,weka.OrdinalClassClassifier,weka.LMT}
@attribute evalue numeric

@data
letter,weka.DecisionTable,46.38
letter,weka.DecisionTable,547
letter,weka.NNge,74.75
letter,weka.NNge,994.99
letter,weka.DecisionStump,0.97
letter,weka.DecisionStump,122
letter,weka.SMO,25.16
letter,weka.SMO,283.68
letter,weka.MultilayerPerceptron,711.73
letter,weka.MultilayerPerceptron,7170
letter,weka.MultiBoostAB,1.17
letter,weka.MultiBoostAB,121
letter,weka.ConjunctiveRule,1.94
letter,weka.ConjunctiveRule,118
letter,weka.Stacking,0.54
letter,weka.Stacking,115
letter,weka.J48,10.79
letter,weka.J48,219
letter,weka.Decorate,1130.12
letter,weka.Decorate,23631
letter,weka.PART,96.51
letter,weka.PART,929
letter,weka.ZeroR,0.8
letter,weka.ZeroR,124
letter,weka.BayesNet,1.63
letter,weka.BayesNet,155
letter,weka.SimpleLogistic,2164.2
letter,weka.SimpleLogistic,20339
letter,weka.Logistic,258.14
letter,weka.Logistic,2683
letter,weka.StackingC,3.48
letter,weka.StackingC,144
letter,weka.AttributeSelectedClassifier,10.74
letter,weka.AttributeSelectedClassifier,186
letter,weka.MultiClassClassifier,39.62
letter,weka.MultiClassClassifier,508
letter,weka.NaiveBayes,0.94
letter,weka.NaiveBayes,120
letter,weka.FilteredClassifier,2.83
letter,weka.FilteredClassifier,164
letter,weka.MultiScheme,0.4
letter,weka.MultiScheme,120
letter,weka.NaiveBayesUpdateable,0.62
letter,weka.NaiveBayesUpdateable,115
letter,weka.Vote,0.14
letter,weka.Vote,119
letter,weka.HyperPipes,0.5
letter,weka.HyperPipes,134
letter,weka.NBTree,332.32
letter,weka.NBTree,77833
letter,weka.CVParameterSelection,0.19
letter,weka.CVParameterSelection,105
letter,weka.ClassificationViaRegression,131
letter,weka.ClassificationViaRegression,3156
letter,weka.LogitBoost,122.43
letter,weka.LogitBoost,1234.68
letter,weka.Bagging,16.72
letter,weka.Bagging,360
letter,weka.IBk,0.18
letter,weka.IBk,1622
letter,weka.NaiveBayesSimple,0.61
letter,weka.NaiveBayesSimple,109
letter,weka.IB1,0.11
letter,weka.IB1,1017
letter,weka.OneR,0.73
letter,weka.OneR,112
letter,weka.VFI,0.47
letter,weka.VFI,104
letter,weka.RacedIncrementalLogitBoost,42.7
letter,weka.RacedIncrementalLogitBoost,532
letter,weka.LWL,0.11
letter,weka.LWL,15307
letter,weka.RandomForest,11.81
letter,weka.RandomForest,218
letter,weka.RandomTree,2.16
letter,weka.RandomTree,290
letter,weka.REPTree,2.48
letter,weka.REPTree,150
letter,weka.JRip,449.57
letter,weka.JRip,4707
letter,weka.AdaBoostM1,1.3
letter,weka.AdaBoostM1,117
letter,weka.RandomCommittee,13.41
letter,weka.RandomCommittee,16834
letter,weka.OrdinalClassClassifier,149.69
letter,weka.OrdinalClassClassifier,2359
letter,weka.DecisionTable,36.91
letter,weka.DecisionTable,424
letter,weka.NNge,69.34
letter,weka.NNge,999.29
letter,weka.DecisionStump,1.28
letter,weka.DecisionStump,121
letter,weka.SMO,23.87
letter,weka.SMO,392
letter,weka.MultilayerPerceptron,558.54
letter,weka.MultilayerPerceptron,5854
letter,weka.MultiBoostAB,0.93
letter,weka.MultiBoostAB,127
letter,weka.ConjunctiveRule,1.61
letter,weka.ConjunctiveRule,123
letter,weka.Stacking,0.37
letter,weka.Stacking,90
letter,weka.J48,10.85
letter,weka.J48,231
letter,weka.Decorate,1072.6
letter,weka.Decorate,22618
letter,weka.PART,111.29
letter,weka.PART,1151
letter,weka.ZeroR,0.7
letter,weka.ZeroR,96
letter,weka.BayesNet,1.91
letter,weka.BayesNet,128
letter,weka.SimpleLogistic,1836.29
letter,weka.SimpleLogistic,20457
letter,weka.Logistic,338.79
letter,weka.Logistic,3481
