% Query:
% SELECT d.name, li.name, ev.evalue
% FROM
% dataset d,
% experiment e,
% learner_application la,
% learner_implementation li,
% evaluation ev
% WHERE d.did = 6 and
% d.did = e.did and la.laid = e.laid and la.liid = li.liid and
% e.eid = ev.eid and (ev.emiid = 2 or ev.emiid = 4)

@relation query

@attribute name {letter}
@attribute name {weka.DecisionTable,weka.NNge,weka.DecisionStump,weka.SMO,weka.MultilayerPerceptron,weka.MultiBoostAB,weka.ConjunctiveRule,weka.Stacking,weka.J48,weka.Decorate,weka.PART,weka.ZeroR,weka.BayesNet,weka.SimpleLogistic,weka.Logistic,weka.StackingC,weka.AttributeSelectedClassifier,weka.MultiClassClassifier,weka.NaiveBayes,weka.FilteredClassifier,weka.MultiScheme,weka.NaiveBayesUpdateable,weka.Vote,weka.HyperPipes,weka.NBTree,weka.CVParameterSelection,weka.ClassificationViaRegression,weka.LogitBoost,weka.Bagging,weka.IBk,weka.NaiveBayesSimple,weka.IB1,weka.OneR,weka.VFI,weka.RacedIncrementalLogitBoost,weka.LWL,weka.RandomForest,weka.RandomTree,weka.REPTree,weka.JRip,weka.AdaBoostM1,weka.RandomCommittee,weka.OrdinalClassClassifier,weka.LMT}
@attribute evalue numeric

@data
letter,weka.DecisionTable,8.26112e+07
letter,weka.DecisionTable,3.71016e+08
letter,weka.NNge,2.92399e+07
letter,weka.NNge,2.35596e+08
letter,weka.DecisionStump,154568
letter,weka.DecisionStump,2.49716e+08
letter,weka.SMO,1.32462e+08
letter,weka.SMO,4.97434e+08
letter,weka.MultilayerPerceptron,2.69141e+07
letter,weka.MultilayerPerceptron,2.89644e+08
letter,weka.MultiBoostAB,588064
letter,weka.MultiBoostAB,2.3716e+08
letter,weka.ConjunctiveRule,2.35364e+07
letter,weka.ConjunctiveRule,2.37524e+08
letter,weka.Stacking,108632
letter,weka.Stacking,2.47032e+08
letter,weka.J48,3.17074e+07
letter,weka.J48,3.60252e+08
letter,weka.Decorate,3.68815e+08
letter,weka.Decorate,9.59488e+08
letter,weka.PART,2.96921e+07
letter,weka.PART,3.60796e+08
letter,weka.ZeroR,43432
letter,weka.ZeroR,2.5628e+08
letter,weka.BayesNet,3.98362e+06
letter,weka.BayesNet,3.63084e+08
letter,weka.SimpleLogistic,3.53807e+08
letter,weka.SimpleLogistic,4.2404e+08
letter,weka.Logistic,8.47887e+07
letter,weka.Logistic,3.79992e+08
letter,weka.StackingC,9.12641e+07
letter,weka.StackingC,3.73876e+08
letter,weka.AttributeSelectedClassifier,7.56639e+07
letter,weka.AttributeSelectedClassifier,3.65748e+08
letter,weka.MultiClassClassifier,1.1661e+08
letter,weka.MultiClassClassifier,3.91356e+08
letter,weka.NaiveBayes,231152
letter,weka.NaiveBayes,3.64388e+08
letter,weka.FilteredClassifier,4.14928e+07
letter,weka.FilteredClassifier,3.76852e+08
letter,weka.MultiScheme,194456
letter,weka.MultiScheme,2.39924e+08
letter,weka.NaiveBayesUpdateable,144176
letter,weka.NaiveBayesUpdateable,3.60308e+08
letter,weka.Vote,72928
letter,weka.Vote,2.9648e+08
letter,weka.HyperPipes,61728
letter,weka.HyperPipes,3.24116e+08
letter,weka.NBTree,1.59101e+08
letter,weka.NBTree,9.666e+08
letter,weka.CVParameterSelection,90456
letter,weka.CVParameterSelection,2.93628e+08
letter,weka.ClassificationViaRegression,3.11318e+08
letter,weka.ClassificationViaRegression,5.19924e+08
letter,weka.LogitBoost,1.30288e+08
letter,weka.LogitBoost,3.79272e+08
letter,weka.Bagging,1.10438e+08
letter,weka.Bagging,4.24396e+08
letter,weka.IBk,625240
letter,weka.IBk,2.95032e+08
letter,weka.NaiveBayesSimple,143696
letter,weka.NaiveBayesSimple,3.58892e+08
letter,weka.IB1,620400
letter,weka.IB1,2.98304e+08
letter,weka.OneR,133816
letter,weka.OneR,2.55044e+08
letter,weka.VFI,154936
letter,weka.VFI,2.70444e+08
letter,weka.RacedIncrementalLogitBoost,8.71739e+07
letter,weka.RacedIncrementalLogitBoost,3.7172e+08
letter,weka.LWL,616576
letter,weka.LWL,3.06332e+08
letter,weka.RandomForest,1.77637e+08
letter,weka.RandomForest,5.77192e+08
letter,weka.RandomTree,9.48561e+07
letter,weka.RandomTree,3.8744e+08
letter,weka.REPTree,3.18337e+07
letter,weka.REPTree,2.76884e+08
letter,weka.JRip,4.78765e+08
letter,weka.JRip,9.74424e+08
letter,weka.AdaBoostM1,585368
letter,weka.AdaBoostM1,2.62432e+08
letter,weka.RandomCommittee,2.80875e+08
letter,weka.RandomCommittee,9.57136e+08
letter,weka.OrdinalClassClassifier,3.05967e+08
letter,weka.OrdinalClassClassifier,4.45312e+08
letter,weka.DecisionTable,8.11409e+07
letter,weka.DecisionTable,3.17344e+08
letter,weka.NNge,2.91983e+07
letter,weka.NNge,3.02944e+08
letter,weka.DecisionStump,221416
letter,weka.DecisionStump,2.98236e+08
letter,weka.SMO,1.58657e+08
letter,weka.SMO,4.83656e+08
letter,weka.MultilayerPerceptron,4.45134e+06
letter,weka.MultilayerPerceptron,2.9078e+08
letter,weka.MultiBoostAB,583552
letter,weka.MultiBoostAB,3.2034e+08
